review,rating,date,bank,source,sentiment_label,sentiment_score,theme
nays,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
very very good 👍 thanks commercial bank of ethiopia 🤩😘💯,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.847,User Experience
so nice,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.4754,User Experience
fantastic,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.5574,General Feedback
very nice,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.4754,User Experience
f*k,1,2026-05-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
The Bank You can Always Rely on!,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Please make the CBE Noor toggle to be optional just because I have another account that happened to be CBE Noor it doesn't mean I want to see the moon and mecca. I have to be able to disable it. the toggle doesn't work it changes back everytime it refreshes. it is really annoying,2,2026-05-17,Commercial Bank of Ethiopia,Google Play,negative,-0.2299,Feature Request
Amazing App,5,2026-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
It stopped working on its own. When you check your balance it does not show the amount before deductions.,1,2026-05-16,Commercial Bank of Ethiopia,Google Play,negative,-0.2263,Transaction Issues
"The most backward and unstable financial app in the market. It requires updates in which nothing changes, it is slow snd just an annoying application. Don't install it!",1,2026-05-16,Commercial Bank of Ethiopia,Google Play,negative,-0.6962,App Performance
ok,5,2026-05-16,Commercial Bank of Ethiopia,Google Play,positive,0.296,General Feedback
Good,5,2026-05-16,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
🤙🏼🤙🏼,5,2026-05-16,Commercial Bank of Ethiopia,Google Play,positive,0.7506,General Feedback
worst,1,2026-05-16,Commercial Bank of Ethiopia,Google Play,negative,-0.6249,General Feedback
this app very full,5,2026-05-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
good apps,4,2026-05-16,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
"this update got crazy i don't know what's going on this app it's mal functional and loading........... like 2G ,Haha",1,2026-05-15,Commercial Bank of Ethiopia,Google Play,positive,0.4767,App Performance
thanks for you 😘,5,2026-05-15,Commercial Bank of Ethiopia,Google Play,positive,0.6908,General Feedback
it's okay,4,2026-05-15,Commercial Bank of Ethiopia,Google Play,positive,0.2263,General Feedback
It's not allowing me to transfer money.,2,2026-05-15,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Transaction Issues
